Kanał,Opis kanału,GÓRA (Up),STOP (Stop),DÓŁ (Down)
0,Wszystkie rolety (Grupa),2A 3D 06 40 11,2A 3D 06 40 55,2A 3D 06 40 33
1,Roleta 1,2A 3D 06 41 11,2A 3D 06 41 55,2A 3D 06 41 33
2,Roleta 2,2A 3D 06 42 11,2A 3D 06 42 55,2A 3D 06 42 33
3,Roleta 3,2A 3D 06 43 11,2A 3D 06 43 55,2A 3D 06 43 33
4,Roleta 4,2A 3D 06 44 11,2A 3D 06 44 55,2A 3D 06 44 33
5,Roleta 5,2A 3D 06 45 11,2A 3D 06 45 55,2A 3D 06 45 33
6,Roleta 6,2A 3D 06 46 11,2A 3D 06 46 55,2A 3D 06 46 33
7,Roleta 7,2A 3D 06 47 11,2A 3D 06 47 55,2A 3D 06 47 33
8,Roleta 8,2A 3D 06 48 11,2A 3D 06 48 55,2A 3D 06 48 33
9,Roleta 9,2A 3D 06 49 11,2A 3D 06 49 55,2A 3D 06 49 33
10,Roleta 10 (A),2A 3D 06 4A 11,2A 3D 06 4A 55,2A 3D 06 4A 33
11,Roleta 11 (B),2A 3D 06 4B 11,2A 3D 06 4B 55,2A 3D 06 4B 33
12,Roleta 12 (C),2A 3D 06 4C 11,2A 3D 06 4C 55,2A 3D 06 4C 33
13,Roleta 13 (D),2A 3D 06 4D 11,2A 3D 06 4D 55,2A 3D 06 4D 33
14,Roleta 14 (E),2A 3D 06 4E 11,2A 3D 06 4E 55,2A 3D 06 4E 33
15,Roleta 15 (F),2A 3D 06 4F 11,2A 3D 06 4F 55,2A 3D 06 4F 33
